time,temperature
01-May-2024 13:00:00,53
01-May-2024 14:00:00,53
01-May-2024 15:00:00,54
01-May-2024 16:00:00,55
01-May-2024 17:00:00,55
01-May-2024 18:00:00,54
01-May-2024 19:00:00,52
01-May-2024 20:00:00,50
01-May-2024 21:00:00,51
01-May-2024 22:00:00,49
01-May-2024 23:00:00,49
02-May-2024 00:00:00,48
02-May-2024 01:00:00,48
02-May-2024 02:00:00,47
02-May-2024 03:00:00,47
02-May-2024 04:00:00,46
02-May-2024 05:00:00,47
02-May-2024 06:00:00,47
02-May-2024 07:00:00,48
02-May-2024 08:00:00,50
02-May-2024 09:00:00,52
02-May-2024 10:00:00,56
02-May-2024 11:00:00,58
02-May-2024 12:00:00,63
02-May-2024 13:00:00,66
02-May-2024 14:00:00,67
02-May-2024 15:00:00,68
02-May-2024 16:00:00,68
02-May-2024 17:00:00,67
02-May-2024 18:00:00,64
02-May-2024 19:00:00,60
02-May-2024 20:00:00,57
02-May-2024 21:00:00,54
02-May-2024 22:00:00,52
02-May-2024 23:00:00,51
03-May-2024 00:00:00,49
03-May-2024 01:00:00,48
03-May-2024 02:00:00,48
03-May-2024 03:00:00,47
03-May-2024 04:00:00,46
03-May-2024 05:00:00,46
03-May-2024 06:00:00,47
03-May-2024 07:00:00,48
03-May-2024 08:00:00,48
03-May-2024 09:00:00,51
03-May-2024 10:00:00,52
03-May-2024 11:00:00,54
03-May-2024 12:00:00,56
03-May-2024 13:00:00,58
03-May-2024 14:00:00,59
03-May-2024 15:00:00,60
03-May-2024 16:00:00,60
03-May-2024 17:00:00,59
03-May-2024 18:00:00,57
03-May-2024 19:00:00,55
03-May-2024 20:00:00,53
03-May-2024 21:00:00,51
03-May-2024 22:00:00,49
03-May-2024 23:00:00,48
04-May-2024 00:00:00,47
04-May-2024 01:00:00,47
04-May-2024 02:00:00,46
04-May-2024 03:00:00,45
04-May-2024 04:00:00,45
04-May-2024 05:00:00,45
04-May-2024 06:00:00,46
04-May-2024 07:00:00,47
04-May-2024 08:00:00,49
04-May-2024 09:00:00,51
04-May-2024 10:00:00,54
04-May-2024 11:00:00,56
04-May-2024 12:00:00,57
04-May-2024 13:00:00,58
04-May-2024 14:00:00,58
04-May-2024 15:00:00,58
04-May-2024 16:00:00,58
04-May-2024 17:00:00,57
04-May-2024 18:00:00,56
04-May-2024 19:00:00,54
04-May-2024 20:00:00,52
04-May-2024 21:00:00,50
04-May-2024 22:00:00,49
04-May-2024 23:00:00,48
05-May-2024 00:00:00,47
05-May-2024 01:00:00,47
05-May-2024 02:00:00,46
05-May-2024 03:00:00,45
05-May-2024 04:00:00,45
05-May-2024 05:00:00,45
05-May-2024 06:00:00,45
05-May-2024 07:00:00,46
05-May-2024 08:00:00,47
05-May-2024 09:00:00,48
05-May-2024 10:00:00,50
05-May-2024 11:00:00,51
05-May-2024 12:00:00,52
05-May-2024 13:00:00,53
05-May-2024 14:00:00,54
05-May-2024 15:00:00,54
05-May-2024 16:00:00,54
05-May-2024 17:00:00,54
05-May-2024 18:00:00,53
05-May-2024 19:00:00,53
05-May-2024 20:00:00,52
05-May-2024 21:00:00,51
05-May-2024 22:00:00,50
05-May-2024 23:00:00,50
06-May-2024 00:00:00,50
06-May-2024 01:00:00,50
06-May-2024 02:00:00,50
06-May-2024 03:00:00,50
06-May-2024 04:00:00,50
06-May-2024 05:00:00,50
06-May-2024 06:00:00,50
06-May-2024 07:00:00,51
06-May-2024 08:00:00,53
06-May-2024 09:00:00,56
06-May-2024 10:00:00,59
06-May-2024 11:00:00,62
06-May-2024 12:00:00,65
06-May-2024 13:00:00,67
06-May-2024 14:00:00,69
06-May-2024 15:00:00,70
06-May-2024 16:00:00,70
06-May-2024 17:00:00,69
06-May-2024 18:00:00,67
06-May-2024 19:00:00,65
06-May-2024 20:00:00,63
06-May-2024 21:00:00,60
06-May-2024 22:00:00,58
06-May-2024 23:00:00,56
07-May-2024 00:00:00,55
07-May-2024 01:00:00,54
07-May-2024 02:00:00,53
07-May-2024 03:00:00,52
07-May-2024 04:00:00,51
07-May-2024 05:00:00,51
07-May-2024 06:00:00,52
07-May-2024 07:00:00,54
07-May-2024 08:00:00,57
07-May-2024 09:00:00,60
07-May-2024 10:00:00,63
07-May-2024 11:00:00,66
07-May-2024 12:00:00,68
07-May-2024 13:00:00,70
07-May-2024 14:00:00,71
07-May-2024 15:00:00,72
07-May-2024 16:00:00,73
07-May-2024 17:00:00,72
07-May-2024 18:00:00,70
07-May-2024 19:00:00,68
07-May-2024 20:00:00,65
07-May-2024 21:00:00,63
07-May-2024 22:00:00,61
07-May-2024 23:00:00,59
08-May-2024 00:00:00,58
